# Tone-of-typing TRAINING corpus — label <TAB> lang <TAB> text.
#
# Methodology (and honest limits): a hand-authored seed set for a COARSE mood
# hint, written for this feature (2026-07) in the style of short terminal /
# chat lines. Five classes (calm / excited / frustrated / playful /
# technical), ~60 lines per class, spanning en zh ja ko es de fr ru ar hi
# plus code-flavoured technical lines. Lines were written to carry each
# mood's LOUD SURFACE MARKERS (laughter tokens, exclamation shapes,
# complaint vocabulary, shell/code syntax) because that is exactly what a
# hashed char-n-gram model can learn from a set this small. This is NOT a
# sentiment-science dataset: no sarcasm, no dialect breadth, no annotation
# process beyond the author's judgement; machine assistance was used to
# draft and review the non-English lines (same curation stance as the
# lexicon's seed data: best-effort, extend via PR). The committed holdout
# file is the conformance expectations set, held out from SGD.
calm	en	ok sounds good to me
calm	en	no rush, take your time
calm	en	that seems fine, let's continue tomorrow
calm	en	sure, whenever you are ready
calm	en	all good on my end
calm	en	thanks, that looks fine
calm	en	we can pick this up later, no problem
calm	en	everything is quiet today
calm	en	sounds reasonable, i agree
calm	en	take it easy, we have plenty of time
calm	en	that works for me, thanks
calm	en	nothing urgent here, all steady
calm	zh	好的，没问题
calm	zh	不着急，慢慢来
calm	zh	一切都很顺利
calm	zh	可以，我们明天再说
calm	zh	没关系，慢慢处理就好
calm	zh	今天很平静，一切正常
calm	ja	はい、大丈夫です
calm	ja	急がなくていいですよ
calm	ja	ゆっくりで大丈夫です
calm	ja	了解です、問題ありません
calm	ja	今日は穏やかな一日でした
calm	ja	そのままで大丈夫だと思います
calm	ko	네, 괜찮아요
calm	ko	천천히 하셔도 돼요
calm	ko	문제 없어요, 편하게 하세요
calm	ko	알겠습니다, 괜찮습니다
calm	ko	오늘은 조용하고 평화롭네요
calm	ko	서두르지 않아도 됩니다
calm	es	vale, no hay prisa
calm	es	todo tranquilo por aquí
calm	es	está bien, lo vemos mañana
calm	es	de acuerdo, con calma
calm	es	no pasa nada, tómate tu tiempo
calm	es	todo en orden, gracias
calm	de	alles gut, kein stress
calm	de	passt schon, lass dir zeit
